number,description,gauge,set,image
2531,"passenger car, observation, Silver Dawn, aluminum",O,2190W,
2532,"passenger car, Vista Dome, Silver Range, aluminum",O,2190W,
2533,"passenger car, pullman, Silver Cloud, aluminum",O,2190W,
2534,"passenger car, pullman, Silver Bluff, aluminum",O,2190W,
2541,"passenger car, observation, Alexander Hamilton, aluminum",O,2254W,
2542,"passenger car, vista dome, Betsy Ross, aluminum",O,2254W,
2543,"passenger car, pullman, William Penn, aluminum",O,2254W,
2544,"passenger car, pullman, Molly Pitcher, aluminum",O,2254W,
2550,"mail-baggage car, Budd",O,2502W,
2551,"passenger car, observation, Banff Park, aluminum",O,2296W,
2552,"passenger car, Vista Dome, Skyline 500, aluminum",O,2296W,
2553,"passenger car, pullman, Blair Manor, aluminum",O,2296W,
2554,"passenger car, pullman, Craig Manor, aluminum",O,2296W,
2555,"tank car, Sunoco single dome",,463W,
2559,"passenger car, Budd",O,2276W,
2560,crane,,1407B,
2561,"passenger car, observation, Vista Valley, aluminum with red stripes",O,2544W,
2562,"passenger car, vista dome, Regal Pass, aluminum with red stripes",O,2544W,
2563,"passenger car, pullman, Indian Falls, aluminum with red stripes",O,2544W,
2625,"passenger car, pullman Irvington, tuscan",O,2110WS,
2627,"passenger car, pullman, Madison",O,2144W,
2628,"passenger car, pullman, Manhattan",O,2144W,
2855,"tank car, Sunoco single dome",,2113WS,
2857,"caboose, illuminated  ",,2113WS,
3309,"flatcar, turbo missile launcher",,11321,
3330,flatcar with submarine kit,,2547WS,
3349,"flatcar, depressed center, turbo missile launcher",,11212,
3356,"horse car, operating",,1567W,3356_web.jpg
3357,cop and hobo car,,11222,
3359,"coal car, operating, twin-bin",,2241WS,
3361,"log car, operating",,2247W,
3362,"unloading car, helium tank",,1641,
3364,"log car, operating",,11520,
3366,"circus car, operating",,2555W,
3370,sheriff and outlaw car,,1644,
3376,giraffe car,,1642,
3386,giraffe car,,1109,
3409,flatcar with helicopter,,1124,
3410,"flatcar with helicopter, manual release",,1645,
3413,"capsule launcher, Mercury",,11288,
3419,flatcar with helicopter,,2527,
3424,"brakeman car, operating, Wabash",,1561WS,3424_web.jpg
3428,"boxcar, operating, U.S. Mail",,1626W,
3429,"flatcar, olive, with helicopter, U.S.M.C",,1805,
3434,"sweeper car, chicken",,2535WS,
3435,"aquarium car, operating",,1623W,3435_web.jpg
3444,"gondola, operating, cop and hobo",,2275W,3444_web.jpg
3451,"log car, operating",,1417WS,3451_web.jpg
3454,"merchandise car, operating",,1409,3454_web.jpg
3456,"hopper car, operating, used with 456 Coal Ramp set",,,#N/A
3459,"coal car, operating",,1415WS,
3461,"log car, operating",,1453WS,3461_web.jpg
3462,"milk car, operating",0-27,1443WS,3462_web.jpg
3464,"boxcar, operating",,1451WS,3464_web.jpg
3469,"coal car, operating",,1459WS,3469_web.jpg
3470,aerial target launcher,,11268,
3472,"milk car, operating",,1455WS,3472_web.jpg
3482,"milk car, operating",,1519WS,3482_web.jpg
3484,"boxcar, operating Pennsy",,2205WS,3484_web.jpg
3509,"flatcar, satellite launching, manual",,1643,
3510,"flatcar, satellite launching, manual, red",,11011,
3512,fireman and ladder car,,1623W,
3519,"flatcar, satellite launching ",,1647,
3520,searchlight car,,2189WS,3520_web.jpg
3530,generator car,,2291W,
3535,security car,,2549W,
3540,"scanning car, radar",,2545WS,
3545,"monitor car, TV",,2573,
3559,"coal car, operating",,1409,3559_web.jpg
3562,"barrel car, operating, black",,1521WS,
3619,reconnaissance car with copter,,11268,
3620,searchlight car,,1521WS,3620_web.jpg
3650,"searchlight car, extension",,1565WS,3650_web.jpg
3656,"cattle car, operating",,1459WS,3656_web.jpg
3662,"milk car, operating",O,2243W,3662_web.jpg
3665,"boxcar, Minuteman",,1647,
3672,"milk car, operating, Bosco",O,2535WS,
3820,"flatcar, olive, with submarine, U.S.M.C.",,1805,
3830,flatcar with submarine,,2553W,
3854,"merchandise car, operating",,2113WS,
4357,"caboose, SP type, Electronic Set",,4110WS,
4452,"gondola, Electronic Set",,4109WS,
4454,"boxcar, Electronic Set",,4109WS,
4457,"caboose, Electronic Set",,4109WS,
5459,"coal car, operating, Electronic Set",,4109WS,
6002,"gondola, black",,1461S,
6004,"boxcar, orange Baby Ruth",,1461S,
6007,"caboose, SP type",,1461S,
6009,"track, uncoupling",,1500,
6012,"gondola, black",,1477S,
6014,"boxcar, Baby Ruth or Frisco, white or red",,1477S,
6015,"tank car, Sunoco, single dome, yellow",,1513S,
6017,"caboose, SP type",,1477S,
